age,gender,height,weight,activity_level,goal,protein,carbs,fats,water
56,male,167,92,active,maintenance,184.0,402.5,115.0,3.82
56,female,150,68,active,bulking,136.0,425.0,102.0,2.98
35,male,195,49,moderate,maintenance,98.0,188.7,53.9,2.02
56,female,164,92,moderate,cutting,202.4,253.0,81.0,3.52
47,male,167,88,moderate,maintenance,176.0,338.8,96.8,3.38
40,female,191,85,moderate,maintenance,170.0,327.2,93.5,3.27
53,male,182,79,moderate,maintenance,158.0,304.2,86.9,3.06
31,male,192,64,active,cutting,140.8,200.0,64.0,2.84
25,female,171,71,moderate,bulking,142.0,390.5,93.7,2.79
18,female,162,83,moderate,cutting,182.6,228.3,73.0,3.21
54,male,150,96,sedentary,cutting,211.2,240.0,76.8,3.36
39,male,160,77,sedentary,bulking,154.0,385.0,92.4,2.7
42,female,168,51,active,cutting,112.2,159.4,51.0,2.39
26,male,198,77,moderate,bulking,154.0,423.5,101.6,3.0
47,female,161,70,sedentary,maintenance,140.0,245.0,70.0,2.45
35,male,196,72,active,cutting,158.4,225.0,72.0,3.12
22,female,184,52,active,maintenance,104.0,227.5,65.0,2.42
33,female,195,51,sedentary,bulking,102.0,255.0,61.2,1.79
39,female,185,78,moderate,bulking,156.0,429.0,103.0,3.03
41,male,182,93,sedentary,bulking,186.0,465.0,111.6,3.26
46,male,160,75,sedentary,bulking,150.0,375.0,90.0,2.63
52,female,190,69,sedentary,maintenance,138.0,241.5,69.0,2.42
20,female,187,54,sedentary,maintenance,108.0,189.0,54.0,1.89
31,female,170,78,moderate,bulking,156.0,429.0,103.0,3.03
56,male,156,85,sedentary,cutting,187.0,212.5,68.0,2.98
21,female,178,88,active,maintenance,176.0,385.0,110.0,3.68
31,male,179,95,active,maintenance,190.0,415.6,118.8,3.93
47,female,158,71,moderate,bulking,142.0,390.5,93.7,2.79
42,female,186,75,sedentary,maintenance,150.0,262.5,75.0,2.63
49,male,182,66,active,cutting,145.2,206.2,66.0,2.91
29,female,198,85,moderate,bulking,170.0,467.5,112.2,3.27
48,male,182,63,sedentary,cutting,138.6,157.5,50.4,2.21
19,female,158,99,moderate,bulking,198.0,544.5,130.7,3.77
59,female,172,92,moderate,cutting,202.4,253.0,81.0,3.52
57,female,188,72,moderate,bulking,144.0,396.0,95.0,2.82
44,male,167,53,sedentary,bulking,106.0,265.0,63.6,1.86
27,female,195,91,sedentary,cutting,200.2,227.5,72.8,3.19
19,female,182,45,sedentary,bulking,90.0,225.0,54.0,1.58
32,male,195,74,sedentary,cutting,162.8,185.0,59.2,2.59
24,male,169,81,sedentary,bulking,162.0,405.0,97.2,2.84
55,female,156,48,moderate,bulking,96.0,264.0,63.4,1.98
59,male,189,68,moderate,cutting,149.6,187.0,59.8,2.68
58,female,187,48,moderate,cutting,105.6,132.0,42.2,1.98
23,male,193,79,moderate,cutting,173.8,217.3,69.5,3.06
48,male,182,59,moderate,bulking,118.0,324.5,77.9,2.37
51,male,172,69,moderate,cutting,151.8,189.8,60.7,2.71
20,male,152,99,sedentary,maintenance,198.0,346.5,99.0,3.47
55,male,179,92,active,maintenance,184.0,402.5,115.0,3.82
31,female,154,63,sedentary,bulking,126.0,315.0,75.6,2.21
30,male,192,47,moderate,cutting,103.4,129.2,41.4,1.95
19,male,186,94,sedentary,maintenance,188.0,329.0,94.0,3.29
30,male,164,49,moderate,cutting,107.8,134.8,43.1,2.02
42,female,151,85,active,cutting,187.0,265.6,85.0,3.58
43,male,166,49,moderate,cutting,107.8,134.8,43.1,2.02
54,male,185,79,active,maintenance,158.0,345.6,98.8,3.37
38,female,167,53,moderate,cutting,116.6,145.8,46.6,2.16
45,male,181,74,moderate,maintenance,148.0,284.9,81.4,2.89
54,female,194,75,active,cutting,165.0,234.4,75.0,3.23
50,female,188,45,moderate,cutting,99.0,123.8,39.6,1.88
27,male,188,77,sedentary,maintenance,154.0,269.5,77.0,2.7
20,female,166,60,sedentary,cutting,132.0,150.0,48.0,2.1
46,male,189,95,sedentary,cutting,209.0,237.5,76.0,3.33
23,female,150,78,active,maintenance,156.0,341.2,97.5,3.33
23,male,184,69,moderate,bulking,138.0,379.5,91.1,2.71
44,female,154,53,sedentary,cutting,116.6,132.5,42.4,1.86
39,female,158,59,moderate,cutting,129.8,162.2,51.9,2.37
23,female,187,90,moderate,maintenance,180.0,346.5,99.0,3.45
22,female,151,49,sedentary,bulking,98.0,245.0,58.8,1.72
50,male,154,47,moderate,bulking,94.0,258.5,62.0,1.95
51,female,183,90,sedentary,cutting,198.0,225.0,72.0,3.15
50,female,151,80,moderate,cutting,176.0,220.0,70.4,3.1
47,male,182,65,moderate,bulking,130.0,357.5,85.8,2.58
51,male,161,54,moderate,cutting,118.8,148.5,47.5,2.19
23,male,173,63,moderate,maintenance,126.0,242.6,69.3,2.5
27,male,171,92,active,cutting,202.4,287.5,92.0,3.82
42,male,161,54,sedentary,cutting,118.8,135.0,43.2,1.89
27,female,188,65,active,cutting,143.0,203.1,65.0,2.88
22,female,173,60,moderate,cutting,132.0,165.0,52.8,2.4
34,male,154,62,moderate,cutting,136.4,170.5,54.6,2.47
41,female,180,85,sedentary,cutting,187.0,212.5,68.0,2.98
40,female,172,73,moderate,cutting,160.6,200.8,64.2,2.85
44,female,153,45,active,cutting,99.0,140.6,45.0,2.18
42,male,151,87,active,bulking,174.0,543.8,130.5,3.65
29,female,195,75,sedentary,cutting,165.0,187.5,60.0,2.63
48,male,183,74,active,cutting,162.8,231.2,74.0,3.19
50,male,190,68,moderate,maintenance,136.0,261.8,74.8,2.68
38,female,150,80,moderate,cutting,176.0,220.0,70.4,3.1
49,female,160,91,sedentary,cutting,200.2,227.5,72.8,3.19
54,male,189,69,sedentary,bulking,138.0,345.0,82.8,2.42
37,male,195,67,active,cutting,147.4,209.4,67.0,2.95
27,male,178,92,active,maintenance,184.0,402.5,115.0,3.82
46,female,174,70,active,cutting,154.0,218.8,70.0,3.05
59,female,154,46,active,maintenance,92.0,201.2,57.5,2.21
48,female,155,48,active,bulking,96.0,300.0,72.0,2.28
22,female,150,94,sedentary,maintenance,188.0,329.0,94.0,3.29
39,female,194,89,active,bulking,178.0,556.2,133.5,3.72
44,male,189,65,sedentary,maintenance,130.0,227.5,65.0,2.28
20,female,167,60,active,maintenance,120.0,262.5,75.0,2.7
55,female,182,95,sedentary,bulking,190.0,475.0,114.0,3.33
29,female,173,57,active,maintenance,114.0,249.4,71.2,2.6
43,female,163,60,moderate,cutting,132.0,165.0,52.8,2.4
27,male,168,60,sedentary,bulking,120.0,300.0,72.0,2.1
35,female,193,57,sedentary,maintenance,114.0,199.5,57.0,2.0
57,male,174,54,sedentary,bulking,108.0,270.0,64.8,1.89
38,male,199,58,active,cutting,127.6,181.2,58.0,2.63
49,female,188,47,active,cutting,103.4,146.9,47.0,2.25
31,female,159,86,active,maintenance,172.0,376.2,107.5,3.61
33,female,179,76,sedentary,bulking,152.0,380.0,91.2,2.66
39,male,159,92,moderate,maintenance,184.0,354.2,101.2,3.52
38,female,162,79,sedentary,maintenance,158.0,276.5,79.0,2.77
56,female,156,71,moderate,cutting,156.2,195.3,62.5,2.79
22,male,192,58,active,maintenance,116.0,253.8,72.5,2.63
59,male,162,69,active,maintenance,138.0,301.9,86.2,3.02
19,female,159,82,active,maintenance,164.0,358.8,102.5,3.47
19,male,155,46,active,maintenance,92.0,201.2,57.5,2.21
29,male,182,98,sedentary,bulking,196.0,490.0,117.6,3.43
57,female,163,62,active,maintenance,124.0,271.2,77.5,2.77
36,female,161,54,sedentary,bulking,108.0,270.0,64.8,1.89
27,female,185,63,sedentary,maintenance,126.0,220.5,63.0,2.21
40,female,189,69,moderate,cutting,151.8,189.8,60.7,2.71
33,female,195,48,active,cutting,105.6,150.0,48.0,2.28
24,male,161,55,sedentary,bulking,110.0,275.0,66.0,1.93
51,female,194,89,moderate,bulking,178.0,489.5,117.5,3.42
35,female,151,98,moderate,maintenance,196.0,377.3,107.8,3.73
42,male,174,95,moderate,bulking,190.0,522.5,125.4,3.62
53,female,188,90,moderate,maintenance,180.0,346.5,99.0,3.45
51,male,179,65,sedentary,maintenance,130.0,227.5,65.0,2.28
55,male,186,57,active,maintenance,114.0,249.4,71.2,2.6
36,female,191,47,active,maintenance,94.0,205.6,58.8,2.25
